WA,WA_Name,plan_code,Issue Date,cntrct_code,app_recvd_date,annual_premium,issue_state,policy_nbr,paid_to_date,first_name,last_name,insured_address,insured_city,zip,draft_date,coverage_amount,Mode,tobacco,insured_ssn_last4,agent_first_name,agent_last_name,agent_email,insured_email,insured_phone_no,Contract Reason,Contract Date,Term Date,last_premium_applied,billing_method,gender
PDJ8VL4T,SOPHIA JACKSON,UL05G CA,20230711,C,20230413,4638.38,IL,GTL5125268H,20240110,Ryan,Hall,1478 PINE ST,Aurora,50188,,25000,Monthly,N,5540,Sophia,Jackson,sophia.jackson5@insurancecorp.com,RYANHALL16@email.com,8005685444,Account Closed,20230711,20230711,20240108,MAIL,M
4LC8HMVX,LAUREN LEE,PUL99 WA,20260224,C,20260201,4633.69,WA,GTL0260146K,20260331,John,Anderson,7727 MAIN ST,Spokane,44118,20260407,10000,Monthly,Y,1933,Lauren,Lee,lauren.lee3@insurancecorp.com,JOHNANDERSON54@email.com,8000615781,REI,20260224,,20260208,DIR,F
DTNAZG12,ROBERT ANDERSON,WL12S PA,20240427,T,20240315,2714.21,MI,GTL7321623L,20241014,Robert,Rodriguez,7195 OAK ST,Grand Rapids,43760,,8000,Semi-Annual,Y,7181,Robert,Anderson,robert.anderson4@insurancecorp.com,ROBERTRODRIGUEZ56@email.com,8007455344,Cancelled,20240427,20240629,20240923,PAC,F
6F0H9GM0,KEVIN RODRIGUEZ,WL12S PA,20260118,R,20260113,2035.36,CA,GTL5211020K,20270101,Sophia,Miller,4584 ELM ST,Los Angeles,14309,,5000,Annual,Y,9313,Kevin,Rodriguez,kevin.rodriguez8@insurancecorp.com,SOPHIAMILLER63@email.com,8002508492,REI,20260118,,20261219,PAC,F
Z59U7MF9,JANE LEE,WL12S PA,20240318,C,20240120,2370.54,NC,GTL9485526F,20241028,John,Hall,8679 OAK ST,Raleigh,77101,,5000,Quarterly,N,5492,Jane,Lee,jane.lee7@insurancecorp.com,JOHNHALL69@email.com,8009463075,Cancelled,20240318,20240403,20240916,MAIL,F
S7LV27FU,MICHAEL LEE,WL10R TX,20240921,C,20240822,4275.73,NJ,GTL4382761C,20250611,Melissa,Clark,8581 PINE ST,Paterson,98595,20250620,100000,Semi-Annual,Y,2635,Michael,Lee,michael.lee1@insurancecorp.com,MELISSACLARK69@email.com,8008581904,Cancelled,20240921,20240921,20250501,MAIL,F
G0CEOWLQ,JESSICA MARTINEZ,UL05G CA,20250208,C,20241123,4234.02,NY,GTL9410482E,20250525,Sarah,Jackson,5804 MAPLE ST,Buffalo,02448,,12000,Quarterly,N,7377,Jessica,Martinez,jessica.martinez6@insurancecorp.com,SARAHJACKSON53@email.com,8007598168,Cancelled,20250208,20251112,20250410,CHECK,M
2KVBVG09,GEORGE HARRIS,WL12G PA,20230119,A,20221109,4684.46,CO,GTL6412082K,20231107,Brian,Hernandez,6464 PINE ST,Aurora,03149,20231031,100000,Quarterly,Y,5019,George,Harris,george.harris6@insurancecorp.com,BRIANHERNANDEZ17@email.com,8008923838,,20230119,,20230912,DIR,M
U4Y2TA48,MELISSA SMITH,SP500 FL,20240217,T,20231201,4774.01,OH,GTL9337699P,20240317,Chris,Lee,379 ELM ST,Cincinnati,65212,20240401,10000,Annual,N,5615,Melissa,Smith,melissa.smith9@insurancecorp.com,CHRISLEE10@email.com,8004744672,NSF,20240217,20241206,20240220,PAC,F
S51XT3S1,SARAH THOMPSON,WL10R TX,20250308,R,20250215,1610.02,NJ,GTL4351736M,20260115,Lauren,Thomas,7163 MAPLE ST,Jersey City,49389,20260129,25000,Annual,Y,5291,Sarah,Thompson,sarah.thompson9@insurancecorp.com,LAURENTHOMAS85@email.com,8000737926,Cancelled,20250308,20250308,20251209,MAIL,F
86SKAY6T,JAMES RODRIGUEZ,UL05G CA,20221216,R,20221009,3969.6,MA,GTL0497493A,20231024,Kevin,Williams,4165 MAPLE ST,Boston,39809,,10000,Annual,N,8448,James,Rodriguez,james.rodriguez7@insurancecorp.com,KEVINWILLIAMS45@email.com,8001750447,NSF,20221216,20221216,20230916,PAC,F
QCEHZ90X,MEGAN WILLIAMS,PUL99 WA,20221219,R,20221202,1051.96,WA,GTL2200452T,20221230,Lauren,Lewis,2882 PINE ST,Spokane,32452,,25000,Monthly,Y,7629,Megan,Williams,megan.williams4@insurancecorp.com,LAURENLEWIS14@email.com,8001001858,LP,20221219,,20221101,MAIL,F
XHLVQEJ6,DANIEL SMITH,SP500 FL,20231130,R,20231021,4067.29,CO,GTL7842373X,20241009,David,Moore,3883 MAIN ST,Aurora,79352,,10000,Monthly,N,9911,Daniel,Smith,daniel.smith5@insurancecorp.com,DAVIDMOORE79@email.com,8008277592,Check Returned,20231130,20231209,20240918,PAC,F
0BFLMTRA,LAUREN YOUNG,PUL99 WA,20220717,C,20220421,2229.72,IL,GTL2748163C,20230420,Matthew,White,9760 MAPLE ST,Aurora,44156,,12000,Monthly,N,8905,Lauren,Young,lauren.young8@insurancecorp.com,MATTHEWWHITE75@email.com,8008393669,Cancelled,20220717,20220717,20230225,PAC,M
1G0MPIWT,MEGAN LOPEZ,PUL99 WA,20230530,A,20230423,2232.1,IL,GTL4292518D,20230825,Ryan,Scott,2838 PINE ST,Rockford,70182,,5000,Monthly,Y,4799,Megan,Lopez,megan.lopez7@insurancecorp.com,RYANSCOTT54@email.com,8004986795,NSF,20230530,20240326,20230711,DIR,M
XYBATGHN,MELISSA TAYLOR,TRM20 NY,20210529,R,20210418,4882.34,AZ,GTL4549533W,20220118,Megan,Rodriguez,9801 OAK ST,Tucson,82950,,50000,Quarterly,Y,0300,Melissa,Taylor,melissa.taylor8@insurancecorp.com,MEGANRODRIGUEZ11@email.com,8007069337,Check Returned,20210529,20210803,20211228,MAIL,M
EU5QIESB,ROBERT WALKER,WL12G PA,20230414,C,20230217,2516.78,TX,GTL6258016E,20240302,Emily,Young,5158 OAK ST,Houston,90388,20240309,12000,Monthly,Y,4920,Robert,Walker,robert.walker6@insurancecorp.com,EMILYYOUNG52@email.com,8004723243,Cancelled,20230414,20230414,20240202,PAC,F
IZ73PJM8,SOPHIA MOORE,LIF20 AZ,20250420,C,20250405,3144.27,PA,GTL6571538Q,20251217,Kevin,Martin,1949 MAIN ST,Philadelphia,46477,,5000,Quarterly,N,9168,Sophia,Moore,sophia.moore1@insurancecorp.com,KEVINMARTIN32@email.com,8003488093,LP,20250420,,20251103,PAC,F
ZSZM0FPR,JESSICA HERNANDEZ,PUL99 WA,20240530,A,20240528,2622.95,PA,GTL7837938S,20241211,John,Miller,4243 OAK ST,Jim Thorpe,61288,20241130,50000,Annual,N,3092,Jessica,Hernandez,jessica.hernandez4@insurancecorp.com,JOHNMILLER77@email.com,8001911593,RERAT,20240530,,20241130,DIR,M
IR9UBG8Z,ANDREW THOMAS,LIF20 AZ,20230706,R,20230609,4151.5,GA,GTL6890994W,20230927,Chris,White,3394 MAPLE ST,Atlanta,65347,,25000,Quarterly,N,6815,Andrew,Thomas,andrew.thomas3@insurancecorp.com,CHRISWHITE88@email.com,8002898785,RERAT,20230706,,20230803,MAIL,F
2Y315JU2,ASHLEY LEWIS,PUL99 WA,20230919,A,20230817,3395.78,CA,GTL4877836R,20240305,George,Rodriguez,6965 MAIN ST,Los Angeles,45424,,50000,Quarterly,N,4146,Ashley,Lewis,ashley.lewis6@insurancecorp.com,GEORGERODRIGUEZ58@email.com,8000762153,Credit Card Declined,20230919,20231120,20240204,CHECK,F
1TOPWPRL,MICHAEL MARTINEZ,WL10R TX,20240728,C,20240721,4444.62,FL,GTL7259764G,20250716,Victoria,Clark,4734 MAPLE ST,Miami,08747,,12000,Semi-Annual,Y,5439,Michael,Martinez,michael.martinez5@insurancecorp.com,VICTORIACLARK39@email.com,8002759741,Account Closed,20240728,20250408,20250518,DIR,M
KV6A0L66,MICHAEL LOPEZ,TRM20 NY,20250307,A,20250213,3605.75,WA,GTL2553695P,20260103,Ashley,Martinez,9377 OAK ST,Tacoma,24838,,25000,Annual,Y,9764,Michael,Lopez,michael.lopez9@insurancecorp.com,ASHLEYMARTINEZ18@email.com,8009416836,CONV,20250307,,20251213,CHECK,F
82UIQWLN,ELIZABETH JOHNSON,WL10R TX,20250318,T,20250313,3905.33,CO,GTL9684793V,20250718,Kevin,Anderson,3229 MAIN ST,Denver,15158,,100000,Quarterly,N,5278,Elizabeth,Johnson,elizabeth.johnson1@insurancecorp.com,KEVINANDERSON84@email.com,8004345287,LP,20250318,,20250620,PAC,F
TA63B8CT,MEGAN JOHNSON,SP500 FL,20250923,A,20250824,3194.7,NC,GTL3670168F,20260723,David,Taylor,9510 OAK ST,Durham,97589,,10000,Quarterly,N,6043,Megan,Johnson,megan.johnson7@insurancecorp.com,DAVIDTAYLOR80@email.com,8007818722,CONV,20250923,,20260627,PAC,M
NFFL00LD,LAUREN SCOTT,TRM20 NY,20240322,T,20231231,3497.57,IL,GTL0456383K,20240518,George,Rodriguez,7960 OAK ST,Chicago,39931,,8000,Annual,Y,5078,Lauren,Scott,lauren.scott9@insurancecorp.com,GEORGERODRIGUEZ36@email.com,8009773670,Cancelled,20240322,20240322,20240323,MAIL,F
DME24PG3,JAMES LEE,WL10R TX,20251221,C,20251027,4006.62,AZ,GTL6259591O,20260418,Andrew,Williams,907 MAPLE ST,Phoenix,01714,,10000,Semi-Annual,Y,7221,James,Lee,james.lee6@insurancecorp.com,ANDREWWILLIAMS10@email.com,8003282219,CONV,20251221,,20260217,CHECK,F
S6CHZJ30,KEVIN HERNANDEZ,WL10R TX,20240508,A,20240317,3985.03,NC,GTL4524628J,20240614,Nicole,Hall,5016 ELM ST,Raleigh,02137,20240612,8000,Monthly,N,8788,Kevin,Hernandez,kevin.hernandez4@insurancecorp.com,NICOLEHALL47@email.com,8001848986,Check Returned,20240508,20240516,20240422,MAIL,M
0ZQIXSV1,DANIEL THOMPSON,WL10R TX,20240418,A,20240417,4881.75,MA,GTL3975091E,20250305,George,Thompson,671 MAIN ST,Boston,79666,20250305,12000,Monthly,Y,3536,Daniel,Thompson,daniel.thompson6@insurancecorp.com,GEORGETHOMPSON41@email.com,8008551372,Check Returned,20240418,20240419,20250119,PAC,F
8SZ35EI6,MICHAEL HALL,LIF20 AZ,20230124,R,20221223,3986.79,TX,GTL2992258L,20230928,Michael,Smith,4739 PINE ST,Dallas,06602,20231009,8000,Semi-Annual,N,3500,Michael,Hall,michael.hall5@insurancecorp.com,MICHAELSMITH14@email.com,8006756424,LP,20230124,,20230928,CHECK,F
E346EE7V,ASHLEY WHITE,WL12S PA,20231202,C,20230906,756.45,MI,GTL7829861K,20240531,Grace,Lewis,9325 OAK ST,Detroit,05858,,25000,Semi-Annual,Y,4059,Ashley,White,ashley.white7@insurancecorp.com,GRACELEWIS49@email.com,8006658119,Cancelled,20231202,20231213,20240416,DIR,F
H70KLZ39,BRIAN JOHNSON,WL12S PA,20250718,R,20250708,3951.9,GA,GTL7453689W,20251118,Kevin,Thomas,3017 ELM ST,Augusta,59285,,12000,Quarterly,N,1763,Brian,Johnson,brian.johnson6@insurancecorp.com,KEVINTHOMAS41@email.com,8005171906,LP,20250718,,20251004,PAC,M
7RNC4T8M,MEGAN MOORE,WL10R TX,20240926,A,20240810,2869.53,GA,GTL0954357E,20241009,Sarah,Williams,3818 ELM ST,Atlanta,04188,,25000,Semi-Annual,N,8916,Megan,Moore,megan.moore7@insurancecorp.com,SARAHWILLIAMS45@email.com,8001431990,Check Returned,20240926,20241005,20240810,PAC,F
N9ISSTBU,CHLOE HALL,SP500 FL,20230927,T,20230730,2773.84,CA,GTL8010152F,20240712,Robert,Thompson,1938 MAIN ST,San Jose,21060,,8000,Annual,N,3187,Chloe,Hall,chloe.hall1@insurancecorp.com,ROBERTTHOMPSON87@email.com,8000767113,LP,20230927,,20240629,DIR,M
5AGRRV5N,GEORGE ANDERSON,SP500 FL,20250331,T,20250224,2445.84,NY,GTL8420364F,20260323,Grace,Brown,202 PINE ST,Buffalo,51642,,10000,Annual,N,1090,George,Anderson,george.anderson3@insurancecorp.com,GRACEBROWN60@email.com,8008162657,NSF,20250331,20250331,20260126,PAC,F
5EEAPNE5,HENRY JONES,LIF20 AZ,20240322,T,20240211,3054.46,PA,GTL4971519N,20241220,Daniel,Brown,119 PINE ST,Philadelphia,68432,,100000,Quarterly,Y,6567,Henry,Jones,henry.jones9@insurancecorp.com,DANIELBROWN68@email.com,8001066480,LP,20240322,,20241024,CHECK,F
PTK86U65,EMILY MARTINEZ,SP500 FL,20221101,A,20221023,1168.27,PA,GTL0023524M,20221221,David,Jackson,1867 MAPLE ST,Jim Thorpe,56771,,25000,Quarterly,N,1676,Emily,Martinez,emily.martinez2@insurancecorp.com,DAVIDJACKSON19@email.com,8002165342,NSF,20221101,20230320,20221218,PAC,F
775BQ0F4,CHLOE WILLIAMS,TRM20 NY,20230316,T,20230208,2795.81,GA,GTL0521367O,20230422,Chris,Moore,4655 PINE ST,Columbus,11640,,25000,Quarterly,Y,5025,Chloe,Williams,chloe.williams4@insurancecorp.com,CHRISMOORE30@email.com,8001196543,CONV,20230316,,20230329,MAIL,M
4CK4NRAV,MATTHEW WALKER,WL10R TX,20240828,T,20240626,1526.95,NC,GTL5102869N,20250304,Sarah,Davis,1712 MAPLE ST,Durham,05785,,5000,Quarterly,N,9671,Matthew,Walker,matthew.walker7@insurancecorp.com,SARAHDAVIS85@email.com,8006026642,Credit Card Declined,20240828,20241115,20250301,DIR,M
IUQ7L85J,VICTORIA WILSON,SP500 FL,20220924,C,20220710,2518.16,NC,GTL9463945B,20221017,Chris,Thomas,3239 MAIN ST,Greensboro,79112,,5000,Annual,Y,6120,Victoria,Wilson,victoria.wilson7@insurancecorp.com,CHRISTHOMAS68@email.com,8001241488,Credit Card Declined,20220924,20220925,20220828,PAC,M
C0IGMH4N,MICHAEL MILLER,SP500 FL,20250905,R,20250613,937.25,MA,GTL0285384X,20250916,George,Allen,4842 MAIN ST,Worcester,70118,,5000,Annual,N,2888,Michael,Miller,michael.miller3@insurancecorp.com,GEORGEALLEN80@email.com,8003682585,RERAT,20250905,,20250727,DIR,F
EMQZPYSZ,ELIZABETH THOMPSON,WL12G PA,20240825,R,20240822,3881.91,NC,GTL3335583I,20241118,Michael,Williams,2007 MAPLE ST,Raleigh,23149,,100000,Quarterly,N,5462,Elizabeth,Thompson,elizabeth.thompson2@insurancecorp.com,MICHAELWILLIAMS36@email.com,8006236113,Check Returned,20240825,20240825,20241116,MAIL,M
C1JKGKYC,JANE GARCIA,TRM20 NY,20231008,C,20230726,813.16,NJ,GTL1617399B,20231102,Sophia,Jones,7475 MAIN ST,Jersey City,94421,,10000,Monthly,Y,8765,Jane,Garcia,jane.garcia2@insurancecorp.com,SOPHIAJONES40@email.com,8007869333,NSF,20231008,20231231,20231027,PAC,M
KNEV98V7,BRIAN THOMAS,WL10R TX,20230408,T,20230130,4038.78,FL,GTL4244742N,20240101,Henry,Allen,1439 PINE ST,Jacksonville,21845,20231223,12000,Semi-Annual,Y,1393,Brian,Thomas,brian.thomas2@insurancecorp.com,HENRYALLEN46@email.com,8009011360,Cancelled,20230408,20230531,20231119,CHECK,F
5KCWNMMQ,EMILY JOHNSON,PUL99 WA,20211128,T,20211031,3642.11,PA,GTL5121324T,20220317,Andrew,Jones,9820 PINE ST,Harrisburg,14319,,5000,Semi-Annual,N,5481,Emily,Johnson,emily.johnson4@insurancecorp.com,ANDREWJONES42@email.com,8008930372,Cancelled,20211128,20220126,20220125,MAIL,F
F3ULZYGF,MEGAN JACKSON,SP500 FL,20240606,A,20240318,1410.91,OH,GTL8923872G,20240723,Melissa,Johnson,5144 OAK ST,Cleveland,54290,,8000,Monthly,Y,7855,Megan,Jackson,megan.jackson8@insurancecorp.com,MELISSAJOHNSON28@email.com,8009764111,Cancelled,20240606,20240606,20240614,PAC,M
2YXPKQWZ,SOPHIA SCOTT,TRM20 NY,20240330,T,20231231,1631.44,NJ,GTL4627589J,20250107,Jane,Walker,6386 ELM ST,Newark,77629,,10000,Annual,N,3934,Sophia,Scott,sophia.scott1@insurancecorp.com,JANEWALKER28@email.com,8000506097,Cancelled,20240330,20240404,20241203,CHECK,F
6BGNHE7N,ASHLEY SMITH,UL05G CA,20240321,C,20240312,3392.49,AZ,GTL6080230X,20240929,Chris,Thompson,9823 MAPLE ST,Mesa,26145,,8000,Monthly,Y,9727,Ashley,Smith,ashley.smith8@insurancecorp.com,CHRISTHOMPSON47@email.com,8006151797,Credit Card Declined,20240321,20240328,20240911,CHECK,F
VK4AEDW6,DANIEL LOPEZ,LIF20 AZ,20240410,T,20240330,4222.88,FL,GTL8046301U,20240806,David,Moore,4604 PINE ST,Jacksonville,26809,,10000,Quarterly,Y,1060,Daniel,Lopez,daniel.lopez8@insurancecorp.com,DAVIDMOORE66@email.com,8008596235,Cancelled,20240410,20250114,20240804,MAIL,M
H9PD7Q24,MELISSA BROWN,TRM20 NY,20221215,T,20221209,4001.52,NJ,GTL6646007F,20230908,Robert,Williams,8784 PINE ST,Paterson,14807,,8000,Annual,Y,9185,Melissa,Brown,melissa.brown1@insurancecorp.com,ROBERTWILLIAMS62@email.com,8006978515,Check Returned,20221215,20230303,20230906,DIR,F
QPQSOKZX,NICOLE ANDERSON,LIF20 AZ,20230424,A,20230125,3523.55,NC,GTL0408377V,20230510,Emily,Lee,8598 MAPLE ST,Charlotte,62003,20230523,8000,Semi-Annual,N,6554,Nicole,Anderson,nicole.anderson9@insurancecorp.com,EMILYLEE34@email.com,8002533850,NSF,20230424,20230514,20230510,CHECK,F
RSFVB637,SOPHIA JOHNSON,SP500 FL,20230626,A,20230619,2535.48,TX,GTL3598416W,20231011,Jessica,Thompson,8949 OAK ST,San Antonio,69493,,100000,Quarterly,Y,4849,Sophia,Johnson,sophia.johnson1@insurancecorp.com,JESSICATHOMPSON39@email.com,8003026058,Check Returned,20230626,20231202,20230819,PAC,M
RENKRU0M,BRIAN THOMPSON,WL12G PA,20221029,R,20221007,1450.19,CA,GTL2221148F,20230829,Kevin,Clark,6042 MAPLE ST,San Diego,84249,,50000,Semi-Annual,Y,7346,Brian,Thompson,brian.thompson4@insurancecorp.com,KEVINCLARK91@email.com,8005851628,NSF,20221029,20221031,20230803,DIR,F
17XTNOPD,HENRY YOUNG,TRM20 NY,20241029,C,20240905,1168.94,NY,GTL0831065X,20250302,Sarah,Brown,9724 MAIN ST,Rochester,94376,,12000,Quarterly,N,7725,Henry,Young,henry.young9@insurancecorp.com,SARAHBROWN25@email.com,8001819247,Account Closed,20241029,20250619,20250127,MAIL,M
3CEL6J1V,KEVIN WILLIAMS,PUL99 WA,20220526,A,20220408,2383.76,OH,GTL6705760P,20230305,Nicole,White,6324 OAK ST,Columbus,54807,,10000,Annual,Y,5949,Kevin,Williams,kevin.williams9@insurancecorp.com,NICOLEWHITE35@email.com,8002287732,Credit Card Declined,20220526,20220526,20230206,MAIL,F
4U0OPL15,AMANDA SMITH,TRM20 NY,20230625,C,20230402,1551.92,MI,GTL7184767S,20240425,Grace,Johnson,8816 MAIN ST,Sterling Heights,75307,,5000,Annual,Y,6375,Amanda,Smith,amanda.smith8@insurancecorp.com,GRACEJOHNSON73@email.com,8002737896,NSF,20230625,20230724,20240308,PAC,F
FEZG3799,DANIEL WHITE,SP500 FL,20260119,C,20260115,3306.65,PA,GTL7660654R,20260916,Amanda,Anderson,8228 PINE ST,Pittsburgh,14208,,100000,Monthly,Y,0183,Daniel,White,daniel.white9@insurancecorp.com,AMANDAANDERSON62@email.com,8004627018,RERAT,20260119,,20260816,CHECK,M
CDM1W1D8,MELISSA JOHNSON,PUL99 WA,20250912,C,20250827,3249.27,AZ,GTL7948726L,20260626,David,Taylor,6922 ELM ST,Tucson,43572,20260611,8000,Monthly,N,3363,Melissa,Johnson,melissa.johnson3@insurancecorp.com,DAVIDTAYLOR87@email.com,8009429292,Credit Card Declined,20250912,20250923,20260514,MAIL,F
RCI47VWM,RYAN MILLER,LIF20 AZ,20250626,A,20250603,2343.81,NY,GTL7278623B,20260501,Chris,Scott,9875 MAPLE ST,Buffalo,18811,,10000,Annual,N,4413,Ryan,Miller,ryan.miller5@insurancecorp.com,CHRISSCOTT26@email.com,8007706163,RERAT,20250626,,20260328,MAIL,F
GGGN2SWA,CHRIS MILLER,WL10R TX,20230603,R,20230414,1636.33,PA,GTL4319418R,20230706,Ashley,Miller,3719 ELM ST,Jim Thorpe,22259,,12000,Annual,N,9635,Chris,Miller,chris.miller9@insurancecorp.com,ASHLEYMILLER23@email.com,8001090697,REI,20230603,,20230512,MAIL,M
CAOT0B0Z,ELIZABETH LEE,TRM20 NY,20240810,C,20240610,1006.0,NJ,GTL6136003T,20250216,Kevin,Taylor,2183 ELM ST,Jersey City,95554,,5000,Annual,N,5082,Elizabeth,Lee,elizabeth.lee1@insurancecorp.com,KEVINTAYLOR21@email.com,8005372843,,20240810,,20241225,MAIL,F
0SOV38B5,CHRIS JACKSON,WL12G PA,20240325,R,20240318,1802.61,MI,GTL9030990D,20250227,Ashley,Lee,2606 MAPLE ST,Grand Rapids,96983,,8000,Annual,N,2001,Chris,Jackson,chris.jackson7@insurancecorp.com,ASHLEYLEE45@email.com,8004447430,Cancelled,20240325,20240406,20250219,DIR,M
T2RU1D7H,RYAN SMITH,LIF20 AZ,20210719,A,20210522,1951.16,OH,GTL9563771V,20220206,Amanda,Allen,3566 OAK ST,Toledo,37282,,100000,Annual,Y,7945,Ryan,Smith,ryan.smith2@insurancecorp.com,AMANDAALLEN56@email.com,8001088603,N/A,20210719,,20220205,PAC,F
LOYO47KW,JAMES LOPEZ,PUL99 WA,20251031,C,20251014,859.14,MI,GTL7091676N,20251225,Emily,Lopez,6084 OAK ST,Sterling Heights,04408,,50000,Monthly,Y,1477,James,Lopez,james.lopez6@insurancecorp.com,EMILYLOPEZ53@email.com,8005377928,Cancelled,20251031,20251031,20251208,CHECK,M
N7YP1XEY,JAMES JOHNSON,WL12S PA,20231003,R,20230924,2214.8,NC,GTL6282250F,20231117,Amanda,Rodriguez,1346 ELM ST,Raleigh,92327,,100000,Quarterly,Y,9806,James,Johnson,james.johnson6@insurancecorp.com,AMANDARODRIGUEZ81@email.com,8006116183,N/A,20231003,,20231107,DIR,M
MQ5LVAVJ,WILLIAM WALKER,WL12G PA,20241116,R,20241009,2141.46,NY,GTL6242379W,20251112,Amanda,Miller,3075 PINE ST,Albany,43626,,5000,Quarterly,N,6428,William,Walker,william.walker8@insurancecorp.com,AMANDAMILLER99@email.com,8005500746,Credit Card Declined,20241116,20241116,20251022,CHECK,M
S8FT0HB4,AMANDA WALKER,WL12G PA,20210604,C,20210508,4152.56,NJ,GTL1929063C,20220214,Kevin,Davis,5854 MAIN ST,Newark,69175,,12000,Monthly,N,1389,Amanda,Walker,amanda.walker1@insurancecorp.com,KEVINDAVIS71@email.com,8002139363,Credit Card Declined,20210604,20211205,20220211,DIR,M
4YV4P0VM,CHLOE WILSON,WL12S PA,20240731,A,20240624,3468.28,NJ,GTL6016863F,20241011,Melissa,Wilson,4794 OAK ST,Jersey City,87849,20241015,5000,Semi-Annual,N,0497,Chloe,Wilson,chloe.wilson9@insurancecorp.com,MELISSAWILSON46@email.com,8008764615,Credit Card Declined,20240731,20250420,20241007,CHECK,F
C7B2A0LN,CHRIS HERNANDEZ,WL12S PA,20240221,R,20231230,3671.6,FL,GTL8433311P,20240923,Robert,Martin,5868 PINE ST,Tampa,30667,,5000,Monthly,Y,6935,Chris,Hernandez,chris.hernandez9@insurancecorp.com,ROBERTMARTIN66@email.com,8002241633,Check Returned,20240221,20240719,20240810,PAC,F
RTDX1KQA,CHLOE HARRIS,WL12S PA,20230616,A,20230528,1507.39,AZ,GTL8315039U,20240602,Brian,Jackson,6541 ELM ST,Mesa,17479,,100000,Quarterly,N,6122,Chloe,Harris,chloe.harris8@insurancecorp.com,BRIANJACKSON73@email.com,8002433255,Check Returned,20230616,20230619,20240601,DIR,F
VUZ7CXXL,CHRIS WILSON,PUL99 WA,20240219,R,20231128,1072.95,NY,GTL0790916K,20250201,David,Martinez,5269 ELM ST,New York,26672,,100000,Semi-Annual,Y,5578,Chris,Wilson,chris.wilson2@insurancecorp.com,DAVIDMARTINEZ31@email.com,8001394901,Check Returned,20240219,20240220,20241210,CHECK,F
KPSON0QV,MEGAN MARTIN,WL12S PA,20250915,T,20250721,1860.81,WA,GTL5101011Y,20251105,Daniel,Davis,9796 MAPLE ST,Spokane,62946,20251030,10000,Monthly,Y,3993,Megan,Martin,megan.martin7@insurancecorp.com,DANIELDAVIS76@email.com,8003043713,N/A,20250915,,20251028,DIR,F
SVYX94BL,MELISSA HARRIS,SP500 FL,20230927,R,20230629,4564.8,CO,GTL4114788S,20240602,Nicole,Lopez,2372 OAK ST,Denver,34203,20240602,12000,Semi-Annual,N,2094,Melissa,Harris,melissa.harris1@insurancecorp.com,NICOLELOPEZ29@email.com,8006275261,Check Returned,20230927,20231007,20240509,PAC,F
XLTDG1WS,SARAH JOHNSON,SP500 FL,20230105,T,20221211,601.16,MI,GTL7943119I,20231229,George,Harris,3456 ELM ST,Sterling Heights,28255,,12000,Annual,Y,2646,Sarah,Johnson,sarah.johnson3@insurancecorp.com,GEORGEHARRIS19@email.com,8005537186,NSF,20230105,20230105,20231218,CHECK,F
X4UV2QGT,CHRIS WILSON,TRM20 NY,20230315,A,20221221,4078.74,WA,GTL8525291G,20231111,Elizabeth,Taylor,8315 MAPLE ST,Tacoma,42507,20231111,100000,Semi-Annual,N,7023,Chris,Wilson,chris.wilson3@insurancecorp.com,ELIZABETHTAYLOR72@email.com,8004491794,Cancelled,20230315,20230423,20230922,PAC,F
9I62H3IO,CHLOE WILLIAMS,WL12G PA,20240905,A,20240726,3745.01,CA,GTL5272214H,20250206,Michael,Lee,5503 PINE ST,San Jose,48813,,10000,Quarterly,N,8188,Chloe,Williams,chloe.williams7@insurancecorp.com,MICHAELLEE81@email.com,8009259931,Check Returned,20240905,20250314,20241213,DIR,M
CF9JDCHV,HENRY JOHNSON,WL12S PA,20250217,R,20241122,590.34,OH,GTL0179049G,20250619,James,Martinez,8620 PINE ST,Cleveland,68746,,8000,Monthly,Y,7171,Henry,Johnson,henry.johnson2@insurancecorp.com,JAMESMARTINEZ29@email.com,8009947893,Cancelled,20250217,20250217,20250605,DIR,M
4T6I99MB,ANDREW MARTINEZ,WL10R TX,20240928,C,20240925,628.29,WA,GTL8430267D,20250215,Emily,Harris,6638 OAK ST,Spokane,16559,,12000,Annual,N,2997,Andrew,Martinez,andrew.martinez3@insurancecorp.com,EMILYHARRIS17@email.com,8007783470,RERAT,20240928,,20250202,CHECK,F
XLXOO7BT,GEORGE DAVIS,PUL99 WA,20251030,R,20250829,793.47,NC,GTL9155606O,20251103,Daniel,Clark,7788 MAPLE ST,Raleigh,12617,20251111,8000,Semi-Annual,Y,1789,George,Davis,george.davis1@insurancecorp.com,DANIELCLARK36@email.com,8007733255,Cancelled,20251030,20251102,20250916,CHECK,F
V746XJ0W,EMILY TAYLOR,WL12G PA,20250217,C,20250202,1449.7,OH,GTL1581237Z,20251228,Nicole,Wilson,3861 OAK ST,Cleveland,42728,,8000,Monthly,N,1238,Emily,Taylor,emily.taylor9@insurancecorp.com,NICOLEWILSON93@email.com,8009001076,NSF,20250217,20250314,20251213,MAIL,M
40WN9V1Z,AMANDA YOUNG,WL12S PA,20231213,R,20231111,3005.42,AZ,GTL2229252X,20240613,James,Anderson,1446 MAIN ST,Mesa,58318,,10000,Monthly,Y,9099,Amanda,Young,amanda.young9@insurancecorp.com,JAMESANDERSON76@email.com,8002492847,Account Closed,20231213,20231231,20240506,MAIL,M
